ID;FIRSTNAME;NAME;COUNTRY;ID2;FIRSTNAME2;NAME2;COUNTRY2
130;Shelur;Hailith;FRANCE;50;Wunsmi;Alrujahr;ITALY
81;Trent;Lobo;FRANCE;136;Lurbuk;Khelynn;ITALY
20;Wibiempeg;Evior;FRANCE;105;Waglaim;Uvurhan;ITALY
76;Arob;Kizi;FRANCE;98;Seth;Borges;ITALY
89;Claudette;Krauss;FRANCE;54;Mortimer;Bloodgood;ITALY
93;Snallbam;Abin;FRANCE;103;Rogdul;Ayargajin;ITALY
40;Shazgob;Zunabar;FRANCE;9;Jensmebur;Ekey;ITALY
127;Ravynne;Hunt;FRANCE;145;Lallbaa;Dhutorn;ITALY
5;Estelle;Void;FRANCE;17;Fensmyl;Etinaxis;ITALY
29;Hansnert;Anixar;FRANCE;12;Fnakmass;Proxar;ITALY
97;Agrob;Khijazi;FRANCE;27;Hillnar;Thunelle;ITALY
106;Clulilkir;Shurune;FRANCE;95;Pilan;Jones;ITALY
116;Slovibick;Amuzith;FRANCE;118;Smideglie;Nillaes;ITALY
149;Gul;Reji;FRANCE;83;Panas;Umbra;ITALY
85;Artemis;Grimm;FRANCE;90;Bulak;Alzim;ITALY
100;Alice;Nox;FRANCE;75;Dalila;Tenebris;ITALY
19;Olaghig;Zulraja;FRANCE;45;Jasmine;White;ITALY
79;Medeia;Zayne;FRANCE;55;Xolag;Kea;ITALY
52;Lavina;Tombend;FRANCE;18;Avery;Discord;ITALY
21;Puiltag;Javinda;FRANCE;91;Mazhug;Jalai;ITALY
135;Lazar;Naxxremis;FRANCE;140;Mamboot;Osophi;ITALY
68;Fontayne;Panther;FRANCE;59;Ulmrougha;Yawan;ITALY
22;Yam;Shaktilar;FRANCE;64;Goppeg;Izolin;ITALY
148;Mog;Shengis;FRANCE;0;Dalthu;Tanjin;ITALY
111;Haroha;Etrixi;FRANCE;133;Slobupputh;Ihanelle;ITALY
58;Gnumzeec;Erlimonar;FRANCE;119;Ug;Zelaji;ITALY
60;Urog;Zulwatha;FRANCE;7;Lilly;Damon;ITALY
128;Zander;Sharpe;FRANCE;23;Limdes;Jopius;ITALY
147;Adonia;Digby;FRANCE;126;Kneprygam;Luqiohne;ITALY
122;Zaifupnip;Ennikhealis;FRANCE;10;Ipnuball;Duharith;ITALY
86;Smensbost;Avoxar;FRANCE;87;Dunzbaack;Wekore;ITALY
43;Callista;Moriarty;FRANCE;11;Himimtoss;Ozith;ITALY
67;Kaspar;Maleficum;FRANCE;24;Zog;Vulzal;ITALY
73;Borkul;Raca;FRANCE;35;Shagar;Halasuwa;ITALY
107;Bogdub;Jiranty;FRANCE;129;Sharn;Kiya;ITALY
